"CBC_Random1","CBC_Random2","CBC_Random3","CBC_Random4","CBC_Random5","CBC_Random6","CBC_Random7","CBC_Random8","Age","Gender","Sustainability","Experience","Education","University","Stakeholder","Stakeholder_6_other","Certificate","Degree","Tenure","Education_7_other"
1,3,1,1,3,3,2,3,25,2,4,2,4,1,5,"",2,3,1,NA
3,3,3,1,3,2,1,1,NA,1,5,2,4,1,5,"",2,3,2,NA
3,2,2,1,2,1,1,2,27,1,5,1,5,1,5,"",1,3,2,NA
1,1,3,1,1,2,3,1,NA,4,5,3,5,1,5,"",2,4,2,NA
3,1,1,2,2,3,1,1,19,2,4,3,4,1,5,"",1,2,1,NA
1,2,3,1,2,3,1,2,20,2,5,1,2,1,5,"",2,2,1,NA
3,1,3,2,2,2,2,2,25,2,5,2,4,1,5,"",1,3,1,NA
1,2,3,1,2,3,3,3,34,1,3,2,5,2,4,"",NA,NA,1,NA
1,3,1,3,3,3,3,2,NA,2,5,2,4,1,5,"",1,3,1,NA
3,1,2,1,1,1,3,1,25,1,5,1,4,1,5,"",1,3,1,NA
3,1,3,3,2,2,3,3,24,1,5,2,5,1,5,"",1,3,2,NA
2,1,3,3,2,1,3,3,26,2,4,3,4,2,5,"",2,3,2,NA
3,2,3,3,2,1,3,2,25,2,5,2,4,1,5,"",1,3,1,NA
3,3,3,1,1,2,3,1,25,2,5,2,4,1,5,"",2,3,2,NA
1,3,1,3,1,1,3,1,44,1,5,2,7,1,3,"",NA,NA,2,NA
1,3,2,3,2,1,3,3,27,1,5,1,4,1,5,"",1,3,1,NA
1,2,1,2,1,3,3,2,25,2,5,1,4,1,5,"",1,3,1,NA
2,1,1,1,2,3,3,3,24,2,5,2,4,1,5,"",1,3,1,NA
1,2,3,1,1,1,2,2,24,1,4,2,4,2,5,"",2,3,1,NA
1,1,2,3,2,3,2,3,26,1,5,2,4,1,5,"",1,3,2,NA
1,3,3,1,3,1,3,1,26,1,4,2,4,1,5,"",2,3,1,NA
3,2,1,3,3,3,1,3,23,2,5,1,5,1,5,"",1,3,1,NA
1,3,2,2,3,3,3,2,34,2,5,1,5,1,6,"PhD student",NA,NA,1,NA
3,1,3,1,3,3,1,3,23,2,5,2,4,1,5,"",2,3,1,NA
1,1,1,1,2,1,3,1,24,2,5,2,4,1,5,"",2,3,2,NA
3,3,1,1,2,3,1,2,24,1,5,2,4,1,5,"",2,3,1,NA
1,2,1,3,2,1,2,2,23,2,4,1,4,1,5,"",2,3,1,NA
