Respondent,attribute,importance
83,Business Model,44.9013985824274
83,Location,11.720983052357001
83,Synergy,6.1517529647046
83,Budget,37.225865400511
85,Business Model,35.8398685950881
85,Location,6.06784385710899
85,Synergy,30.8689066468722
85,Budget,27.2233809009307
87,Business Model,13.9094460013847
87,Location,8.88050522121441
87,Synergy,50.43405734316
87,Budget,26.7759914342409
93,Business Model,45.4192697519916
93,Location,19.6597236063672
93,Synergy,24.4805219673492
93,Budget,10.4404846742919
96,Business Model,23.3065319048678
96,Location,5.24328968426981
96,Synergy,28.2054876414308
96,Budget,43.2446907694316
97,Business Model,24.6797576888702
97,Location,17.0841505829478
97,Synergy,17.4531993638087
97,Budget,40.7828923643732
98,Business Model,22.503071162103
98,Location,34.8333013393514
98,Synergy,19.379418864477
98,Budget,23.2842086340685
100,Business Model,44.2309559102646
100,Location,12.3247142417969
100,Synergy,9.50921605408771
100,Budget,33.9351137938508
102,Business Model,27.8304774130795
102,Location,7.40117529756638
102,Synergy,44.7397377319406
102,Budget,20.0286095574136
104,Business Model,46.1731936064334
104,Location,6.7804480573093
104,Synergy,18.3699363350068
104,Budget,28.6764220012505
106,Business Model,33.3983376281211
106,Location,15.0492367358747
106,Synergy,16.0219763654016
106,Budget,35.5304492706026
107,Business Model,18.254394799069
107,Location,15.0973047725136
107,Synergy,42.582484276036
107,Budget,24.0658161523814
109,Business Model,19.4725900633192
109,Location,16.8636656975864
109,Synergy,14.1082327224398
109,Budget,49.5555115166546
110,Business Model,57.7210233192574
110,Location,13.6177608280775
110,Synergy,19.1363146327107
110,Budget,9.52490121995436
111,Business Model,19.1092333149126
111,Location,25.8855255791379
111,Synergy,33.6571112836051
111,Budget,21.3481298223444
114,Business Model,40.4883151056116
114,Location,12.8866002865809
114,Synergy,32.8423704534705
114,Budget,13.782714154337
115,Business Model,23.1946981572879
115,Location,14.8273843571906
115,Synergy,46.6266122851074
115,Budget,15.3513052004142
116,Business Model,32.9176173787227
116,Location,8.63541242518752
116,Synergy,9.89471179014962
116,Budget,48.5522584059402
117,Business Model,14.8561774061382
117,Location,18.1968087866664
117,Synergy,26.6141628389206
117,Budget,40.3328509682747
118,Business Model,20.6210749691979
118,Location,13.8669116713202
118,Synergy,3.48134174263462
118,Budget,62.0306716168473
119,Business Model,38.8564071501789
119,Location,18.9814871907916
119,Synergy,4.83806477366612
119,Budget,37.3240408853634
120,Business Model,37.2999880749936
120,Location,31.0131115017752
120,Synergy,11.5661927266836
120,Budget,20.1207076965476
121,Business Model,49.2198037496567
121,Location,19.2841342579468
121,Synergy,15.3532192479667
121,Budget,16.1428427444298
122,Business Model,47.2286268928046
122,Location,19.3840048823153
122,Synergy,17.1831230359033
122,Budget,16.2042451889768
126,Business Model,35.1452246972778
126,Location,19.9465909780411
126,Synergy,29.9450440295344
126,Budget,14.9631402951467
127,Business Model,48.3680102439772
127,Location,2.32794324860441
127,Synergy,22.5500791257077
127,Budget,26.7539673817107
131,Business Model,24.5417659621546
131,Location,7.56948043080519
131,Synergy,40.9792827963075
131,Budget,26.9094708107327
133,Business Model,19.2090210761654
133,Location,13.2110513166439
133,Synergy,47.6344080044855
133,Budget,19.9455196027052
139,Business Model,49.4888151688558
139,Location,14.9137031238722
139,Synergy,12.4391148929784
139,Budget,23.1583668142935
142,Business Model,17.286385371884
142,Location,15.2461738554106
142,Synergy,41.6289789800759
142,Budget,25.8384617926296
143,Business Model,23.5262925196161
143,Location,32.4529361048168
143,Synergy,22.0493157229865
143,Budget,21.9714556525806
144,Business Model,61.7659764079284
144,Location,11.3717291189051
144,Synergy,16.9218112324286
144,Budget,9.94048324073788
145,Business Model,50.5838256569064
145,Location,7.73924254921145
145,Synergy,23.1848810118641
145,Budget,18.492050782018
146,Business Model,19.590661650469
146,Location,12.1918978305253
146,Synergy,49.6471442756254
146,Budget,18.5702962433804
148,Business Model,21.5980983870373
148,Location,10.604537026216
148,Synergy,22.1407911668996
148,Budget,45.6565734198471
149,Business Model,38.36905707315
149,Location,15.6768416453362
149,Synergy,10.8277499584904
149,Budget,35.1263513230233
151,Business Model,23.4304120947924
151,Location,18.9085157646554
151,Synergy,28.6653359182776
151,Budget,28.9957362222746
152,Business Model,30.3509881729224
152,Location,11.7254371640735
152,Synergy,46.8705387319286
152,Budget,11.0530359310755
153,Business Model,28.3648077566905
153,Location,7.51259481977274
153,Synergy,45.6598087856778
153,Budget,18.462788637859
